Time 	 L2norm 
0	0.352265
0.5	0.356744
1	0.361517
1.5	0.366617
2	0.372087
2.5	0.377976
3	0.384343
3.5	0.391261
4	0.398816
4.5	0.407118
5	0.4163
5.5	0.426535
6	0.438041
6.5	0.451107
7	0.46611
7.5	0.483565
8	0.504177
8.5	0.528936
9	0.55926
9.5	0.597225
10	0.645931
10.5	0.710092
11	0.797009
11.5	0.918196
12	1.09248
12.5	1.35419
13	1.78712
13.5	2.69352
14	5.27225
14.5	13.4424
15	38.7496
15.5	115.796
16	349.31
16.5	1056.51
17	3198.34
17.5	9686.31
18	29343.5
18.5	88912.6
19	269466
19.5	816818
20	2.47642e+06
