Time 	 L2norm 
0	0.352265
0.5	0.340157
1	0.329883
1.5	0.320995
2	0.31319
2.5	0.306251
3	0.300018
3.5	0.294373
4	0.289221
4.5	0.284492
5	0.280125
5.5	0.276074
6	0.272301
6.5	0.268772
7	0.26546
7.5	0.262343
8	0.259401
8.5	0.256617
9	0.253976
9.5	0.251466
10	0.249075
10.5	0.246794
11	0.244614
11.5	0.242527
12	0.240527
12.5	0.238607
13	0.236762
13.5	0.234986
14	0.233277
14.5	0.231628
15	0.230038
15.5	0.228502
16	0.227017
16.5	0.225581
17	0.224192
17.5	0.222846
18	0.221542
18.5	0.220278
19	0.219052
19.5	0.217862
20	0.216708
