Time 	 L2norm 
0	0.352265
0.5	0.35224
1	0.352216
1.5	0.352191
2	0.352167
2.5	0.352142
3	0.352118
3.5	0.352094
4	0.352069
4.5	0.352045
5	0.352021
5.5	0.351997
6	0.351973
6.5	0.351949
7	0.351925
7.5	0.351901
8	0.351877
8.5	0.351853
9	0.351829
9.5	0.351805
10	0.351781
10.5	0.351757
11	0.351733
11.5	0.351709
12	0.351686
12.5	0.351662
13	0.351638
13.5	0.351615
14	0.351591
14.5	0.351568
15	0.351544
15.5	0.351521
16	0.351497
16.5	0.351474
17	0.35145
17.5	0.351427
18	0.351404
18.5	0.35138
19	0.351357
19.5	0.351334
20	0.351311
