#Time 	 L2norm 
0	0.352265
0.5	0.352276
1	0.35226
1.5	0.352261
2	0.352263
2.5	0.352263
3	0.352263
3.5	0.352265
4	0.352266
4.5	0.352252
5	0.352259
5.5	0.352279
6	0.35226
6.5	0.352261
7	0.352263
7.5	0.352263
8	0.352263
8.5	0.352265
9	0.352266
9.5	0.352255
10	0.352255
10.5	0.352279
11	0.352262
11.5	0.35226
12	0.352263
12.5	0.352263
13	0.352263
13.5	0.352264
14	0.352266
14.5	0.352257
15	0.352252
15.5	0.352278
16	0.352266
16.5	0.352258
17	0.352263
17.5	0.352263
18	0.352263
18.5	0.352264
19	0.352266
19.5	0.352259
20	0.352251
